english	zh	first_mention	keep_english	category	alternatives	notes
reinforcement learning	强化学习	强化学习（reinforcement learning, RL）	yes	core	RL	常见稳定译法；缩写 RL 保留。
reinforcement learning from human feedback	基于人类反馈的强化学习	基于人类反馈的强化学习（RLHF）	yes	core	RLHF	之后多用 RLHF。
language model	语言模型	语言模型（language model, LM）	yes	core	LM	LLM 译为大语言模型。
large language model	大语言模型	大语言模型（large language model, LLM）	yes	core	LLM	之后可用 LLM。
post-training	后训练	后训练（post-training）	no	core		指预训练之后的模型适配和优化阶段。
pretraining	预训练	预训练（pretraining）	no	core		稳定译法。
instruction tuning	指令微调	指令微调（instruction tuning）	no	training	指令调优	本书优先统一为指令微调。
supervised fine-tuning	监督微调	监督微调（supervised fine-tuning, SFT）	yes	training	SFT	保留 SFT。
preference tuning	偏好调优	偏好调优（preference tuning）	no	training	偏好微调	若指 preference fine-tuning/PreFT，偏好微调也可接受。
preference fine-tuning	偏好微调	偏好微调（preference fine-tuning, PreFT）	yes	training	偏好调优	PreFT 语境中优先用偏好微调。
preference data	偏好数据	偏好数据（preference data）	no	data		稳定译法。
preference model	偏好模型	偏好模型（preference model）	no	model	PM	有时图中缩写 PM。
reward model	奖励模型	奖励模型（reward model, RM）	yes	model	RM	保留 RM。
outcome reward model	结果奖励模型	结果奖励模型（outcome reward model, ORM）	yes	model	ORM	保留 ORM。
process reward model	过程奖励模型	过程奖励模型（process reward model, PRM）	yes	model	PRM	保留 PRM。
reward signal	奖励信号	奖励信号（reward signal）	no	rl		稳定译法。
policy	策略	策略（policy）	no	rl	policy	数学符号和代码中的 policy 不改。
value function	价值函数	价值函数（value function）	no	rl		稳定译法。
advantage	优势	优势（advantage）	no	rl		策略梯度语境。
trajectory	轨迹	轨迹（trajectory）	no	rl		稳定译法。
rollout	rollout	rollout	yes	rl	采样轨迹	强化学习语境优先保留英文。
on-policy	on-policy	on-policy	yes	rl	同策略	本书优先保留英文。
off-policy	off-policy	off-policy	yes	rl	离策略	本书优先保留英文。
rejection sampling	拒绝采样	拒绝采样（Rejection Sampling, RS）	yes	method	RS	保留 RS。
best-of-N	best-of-N	best-of-N	yes	method	从 N 个候选中选优	可在解释性文字中说明。
direct alignment	直接对齐	直接对齐（direct alignment）	no	method		章节标题使用直接对齐。
direct preference optimization	直接偏好优化	直接偏好优化（Direct Preference Optimization, DPO）	yes	method	DPO	保留 DPO。
proximal policy optimization	近端策略优化	近端策略优化（Proximal Policy Optimization, PPO）	yes	method	PPO	保留 PPO。
